name,op_name,provider,node_index,dur,activation_size,output_size,input_type_shape,output_type_shape
model_loading_uri,,,,19806,,,"""""",""""""
session_initialization,,,,79719,,,"""""",""""""
unique_ids_graph_outputs_Identity__10_kernel_time,Identity,CPUExecutionProvider,1259,17,8,8,"[{""int64"": [1]}]","[{""int64"": [1]}]"
bert/embeddings/ExpandDims_kernel_time,Reshape,CPUExecutionProvider,7,11,2048,2048,"[{""int64"": [1, 256]}, {""int64"": [3]}]","[{""int64"": [1, 256, 1]}]"
bert/embeddings/Shape_kernel_time,Shape,CPUExecutionProvider,10,1,2048,24,"[{""int64"": [1, 256, 1]}]","[{""int64"": [3]}]"
bert/embeddings/Shape__49_kernel_time,Cast,CPUExecutionProvider,11,112,24,12,"[{""int64"": [3]}]","[{""float"": [3]}]"
bert/embeddings/strided_slice_kernel_time,Slice,CPUExecutionProvider,12,14,12,4,"[{""float"": [3]}, {""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}]","[{""float"": [1]}]"
bert/embeddings/strided_slice__53_kernel_time,Squeeze,CPUExecutionProvider,13,1,4,4,"[{""float"": [1]}]","[{""float"": []}]"
bert/embeddings/strided_slice__54_kernel_time,Cast,CPUExecutionProvider,14,1,4,4,"[{""float"": []}]","[{""int32"": []}]"
bert/embeddings/Reshape_1/shape_Unsqueeze__55_kernel_time,Unsqueeze,CPUExecutionProvider,15,0,4,4,"[{""int32"": []}]","[{""int32"": [1]}]"
bert/embeddings/Reshape_1/shape_Concat__58_kernel_time,Concat,CPUExecutionProvider,16,3,4,12,"[{""int32"": [1]}, {""int32"": [1]}, {""int32"": [1]}]","[{""int32"": [3]}]"
bert/embeddings/Reshape_1__60_kernel_time,Cast,CPUExecutionProvider,17,1,12,24,"[{""int32"": [3]}]","[{""int64"": [3]}]"
bert/embeddings/Reshape_kernel_time,Reshape,CPUExecutionProvider,8,1,2048,2048,"[{""int64"": [1, 256, 1]}, {""int64"": [1]}]","[{""int64"": [256]}]"
bert/embeddings/GatherV2_quant_kernel_time,Gather,CPUExecutionProvider,9,44,2048,196608,"[{""int8"": [30522, 768]}, {""int64"": [256]}]","[{""int8"": [256, 768]}]"
bert/embeddings/Reshape_1_kernel_time,Reshape,CPUExecutionProvider,19,1,196632,196608,"[{""int8"": [256, 768]}, {""int64"": [3]}]","[{""int8"": [1, 256, 768]}]"
bert/embeddings/Reshape_1:0_dq1_kernel_time,DequantizeLinear,CPUExecutionProvider,1262,20,196608,786432,"[{""int8"": [1, 256, 768]}, {""float"": []}, {""int8"": []}]","[{""float"": [1, 256, 768]}]"
bert/embeddings/Reshape_2_kernel_time,Reshape,CPUExecutionProvider,0,1,2048,2048,"[{""int64"": [1, 256]}, {""int64"": [1]}]","[{""int64"": [256]}]"
bert/embeddings/one_hot_kernel_time,OneHot,CPUExecutionProvider,1,26,2048,2048,"[{""int64"": [256]}, {""int32"": [1]}, {""float"": [2]}]","[{""float"": [256, 2]}]"
bert/embeddings/MatMul_quant_kernel_time,DynamicQuantizeMatMul,CPUExecutionProvider,1347,88,2048,786432,"[{""float"": [256, 2]}, {""float"": [768]}, {""int8"": [768]}]","[{""float"": [256, 768]}]"
bert/embeddings/Reshape_1:0_dq_kernel_time,DequantizeLinear,CPUExecutionProvider,1261,15,196608,786432,"[{""int8"": [1, 256, 768]}, {""float"": []}, {""int8"": []}]","[{""float"": [1, 256, 768]}]"
bert/embeddings/Shape_1_kernel_time,Shape,CPUExecutionProvider,20,1,786432,24,"[{""float"": [1, 256, 768]}]","[{""int64"": [3]}]"
bert/embeddings/Shape_1__61_kernel_time,Cast,CPUExecutionProvider,21,1,24,12,"[{""int64"": [3]}]","[{""float"": [3]}]"
bert/embeddings/strided_slice_1_kernel_time,Slice,CPUExecutionProvider,22,1,12,4,"[{""float"": [3]}, {""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}]","[{""float"": [1]}]"
