name,op_name,provider,node_index,dur,activation_size,output_size,input_type_shape,output_type_shape
model_loading_uri,,,,172365,,,"""""",""""""
session_initialization,,,,802180,,,"""""",""""""
/model/embed_tokens/Gather_kernel_time,Gather,CPUExecutionProvider,0,44,2048,524288,"[{""uint8"": [128256, 2048]}, {""int64"": [1, 256]}]","[{""uint8"": [1, 256, 2048]}]"
/model/embed_tokens/Gather_output_0_DequantizeLinear/duplicated_token_1_kernel_time,DequantizeLinear,CPUExecutionProvider,1979,136,524288,2097152,"[{""uint8"": [1, 256, 2048]}, {""float"": []}, {""uint8"": []}]","[{""float"": [1, 256, 2048]}]"
/model/embed_tokens/Gather_output_0_DequantizeLinear/duplicated_kernel_time,DequantizeLinear,CPUExecutionProvider,1978,132,524288,2097152,"[{""uint8"": [1, 256, 2048]}, {""float"": []}, {""uint8"": []}]","[{""float"": [1, 256, 2048]}]"
/model/layers.0/input_layernorm/Pow_kernel_time,Pow,CPUExecutionProvider,14,228,2097152,2097152,"[{""float"": [1, 256, 2048]}, {""float"": []}]","[{""float"": [1, 256, 2048]}]"
/model/layers.0/input_layernorm/ReduceMean_kernel_time,ReduceMean,CPUExecutionProvider,21,60,2097152,1024,"[{""float"": [1, 256, 2048]}]","[{""float"": [1, 256, 1]}]"
/model/layers.0/input_layernorm/Add_kernel_time,Add,CPUExecutionProvider,26,3,1024,1024,"[{""float"": [1, 256, 1]}, {""float"": []}]","[{""float"": [1, 256, 1]}]"
/model/layers.0/input_layernorm/Sqrt_kernel_time,Sqrt,CPUExecutionProvider,30,1,1024,1024,"[{""float"": [1, 256, 1]}]","[{""float"": [1, 256, 1]}]"
/model/layers.0/input_layernorm/Div_kernel_time,Div,CPUExecutionProvider,34,37,2098176,2097152,"[{""float"": [1, 256, 2048]}, {""float"": [1, 256, 1]}]","[{""float"": [1, 256, 2048]}]"
